id,Date,Weekday,User_NO,Stationery_NO,Count
1,2000-01-03,0,2,3,4
2,2000-01-03,0,1,5,9
3,2000-01-03,0,1,4,9
4,2000-01-04,1,2,3,3
5,2000-01-04,1,1,6,1
6,2000-01-04,1,4,5,2
7,2000-01-05,2,1,6,6
8,2000-01-05,2,1,4,4
9,2000-01-05,2,3,5,3
10,2000-01-05,2,3,1,5
11,2000-01-05,2,3,2,4
12,2000-01-06,3,4,4,1
13,2000-01-06,3,1,1,1
14,2000-01-06,3,4,3,13
15,2000-01-06,3,4,6,9
16,2000-01-06,3,4,2,4
17,2000-01-06,3,4,5,1
18,2000-01-07,4,2,5,2
19,2000-01-10,0,4,4,2
20,2000-01-10,0,3,1,6
21,2000-01-10,0,1,2,6
22,2000-01-10,0,3,3,1
23,2000-01-10,0,1,5,3
24,2000-01-10,0,1,6,3
25,2000-01-10,0,1,6,13
26,2000-01-11,1,1,4,2
27,2000-01-11,1,4,3,3
28,2000-01-11,1,2,2,2
29,2000-01-11,1,2,1,10
30,2000-01-11,1,4,5,5
31,2000-01-11,1,1,6,3
32,2000-01-12,2,2,3,10
33,2000-01-12,2,4,2,7
34,2000-01-12,2,2,5,2
35,2000-01-13,3,1,1,10
36,2000-01-13,3,1,6,1
37,2000-01-13,3,4,4,7
38,2000-01-13,3,4,3,14
39,2000-01-13,3,2,5,4
40,2000-01-13,3,2,2,17
41,2000-01-14,4,2,5,10
42,2000-01-14,4,2,1,9
43,2000-01-14,4,3,2,3
44,2000-01-17,0,2,2,13
45,2000-01-17,0,3,5,2
46,2000-01-17,0,4,3,9
47,2000-01-17,0,3,4,12
48,2000-01-17,0,3,6,4
49,2000-01-17,0,1,1,3
50,2000-01-18,1,3,1,13
51,2000-01-18,1,3,3,9
52,2000-01-18,1,4,4,7
53,2000-01-18,1,2,6,5
54,2000-01-18,1,4,2,3
55,2000-01-19,2,1,3,2
56,2000-01-19,2,3,2,2
57,2000-01-19,2,4,6,11
58,2000-01-19,2,2,1,3
59,2000-01-19,2,4,4,3
60,2000-01-19,2,1,1,1
61,2000-01-19,2,1,5,2
62,2000-01-19,2,4,5,4
63,2000-01-20,3,3,5,7
64,2000-01-20,3,1,2,7
65,2000-01-20,3,4,3,2
66,2000-01-20,3,4,1,1
67,2000-01-20,3,4,6,6
68,2000-01-20,3,3,4,4
69,2000-01-21,4,2,6,1
70,2000-01-21,4,3,4,7
71,2000-01-21,4,1,2,3
72,2000-01-21,4,1,1,1
73,2000-01-21,4,4,3,4
74,2000-01-24,0,2,4,3
75,2000-01-24,0,1,2,3
76,2000-01-24,0,2,6,5
77,2000-01-24,0,1,1,16
78,2000-01-24,0,2,5,1
79,2000-01-25,1,2,3,1
80,2000-01-26,2,1,1,1
81,2000-01-26,2,2,4,4
82,2000-01-26,2,2,2,1
83,2000-01-26,2,1,5,12
84,2000-01-26,2,4,6,5
85,2000-01-27,3,1,2,10
86,2000-01-28,4,3,3,16
87,2000-01-28,4,4,6,4
88,2000-01-28,4,2,1,4
89,2000-01-28,4,4,5,1
90,2000-01-28,4,1,2,1
91,2000-01-31,0,4,4,4
92,2000-01-31,0,2,1,2
93,2000-01-31,0,2,3,7
94,2000-01-31,0,4,2,6
95,2000-01-31,0,2,5,3
96,2000-01-31,0,4,6,1
97,2000-02-01,1,2,1,7
98,2000-02-01,1,4,4,6
99,2000-02-01,1,2,6,8
100,2000-02-01,1,4,2,5
101,2000-02-01,1,1,3,12
102,2000-02-01,1,1,5,4
103,2000-02-02,2,3,5,7
104,2000-02-02,2,3,2,6
105,2000-02-02,2,2,3,1
106,2000-02-02,2,3,1,5
107,2000-02-02,2,1,6,2
108,2000-02-02,2,1,4,4
109,2000-02-03,3,1,6,7
110,2000-02-03,3,2,5,3
111,2000-02-03,3,1,2,6
112,2000-02-03,3,2,4,5
113,2000-02-03,3,4,3,4
114,2000-02-03,3,1,1,1
115,2000-02-03,3,2,1,2
116,2000-02-04,4,4,4,11
117,2000-02-04,4,1,2,8
118,2000-02-07,0,2,6,14
119,2000-02-07,0,2,4,7
120,2000-02-07,0,3,5,5
121,2000-02-07,0,2,1,5
122,2000-02-07,0,3,2,12
123,2000-02-08,1,1,6,3
124,2000-02-08,1,1,5,4
125,2000-02-08,1,1,4,12
126,2000-02-08,1,2,2,4
127,2000-02-08,1,2,1,6
128,2000-02-08,1,3,3,2
129,2000-02-09,2,4,6,6
130,2000-02-09,2,2,2,6
131,2000-02-09,2,4,5,7
132,2000-02-09,2,3,4,8
133,2000-02-09,2,4,3,2
134,2000-02-10,3,3,1,8
135,2000-02-10,3,4,3,1
136,2000-02-10,3,3,6,5
137,2000-02-10,3,2,2,9
138,2000-02-10,3,1,4,7
139,2000-02-11,4,4,1,2
140,2000-02-11,4,4,4,14
141,2000-02-11,4,1,3,1
142,2000-02-11,4,1,5,10
143,2000-02-11,4,2,2,5
144,2000-02-11,4,3,6,7
145,2000-02-14,0,2,3,2
146,2000-02-14,0,2,1,2
147,2000-02-14,0,4,5,4
148,2000-02-14,0,3,6,2
149,2000-02-14,0,2,2,1
150,2000-02-15,1,3,3,10
151,2000-02-15,1,3,4,9
152,2000-02-15,1,1,1,8
153,2000-02-15,1,1,5,6
154,2000-02-15,1,4,2,12
155,2000-02-16,2,2,5,3
156,2000-02-16,2,4,1,2
157,2000-02-16,2,3,4,8
158,2000-02-16,2,3,3,11
159,2000-02-16,2,3,2,2
160,2000-02-16,2,1,6,1
161,2000-02-16,2,3,6,7
162,2000-02-17,3,3,6,6
163,2000-02-17,3,4,5,8
164,2000-02-17,3,4,1,2
165,2000-02-18,4,3,4,5
166,2000-02-18,4,3,2,16
167,2000-02-18,4,4,3,1
168,2000-02-18,4,2,1,2
169,2000-02-21,0,1,2,3
170,2000-02-21,0,4,5,3
171,2000-02-21,0,1,4,3
172,2000-02-21,0,3,1,4
173,2000-02-21,0,4,6,1
174,2000-02-22,1,3,3,16
175,2000-02-23,2,2,2,4
176,2000-02-23,2,1,4,9
177,2000-02-23,2,4,6,2
178,2000-02-23,2,2,3,4
179,2000-02-23,2,1,1,8
180,2000-02-24,3,2,4,1
181,2000-02-24,3,1,5,17
182,2000-02-24,3,3,2,3
183,2000-02-24,3,2,3,8
184,2000-02-24,3,1,1,1
185,2000-02-24,3,4,6,3
186,2000-02-25,4,2,2,6
187,2000-02-25,4,1,6,6
