id,Date,Weekday,User_NO,Stationery_NO,Price,Count,All_Price
1,2000-01-03,0,2,3,23551,25,588775
2,2000-01-03,0,1,5,158458,74,11725892
3,2000-01-03,0,1,4,238536,64,15266304
4,2000-01-04,1,2,3,298887,30,8966610
5,2000-01-04,1,1,6,281732,40,11269280
6,2000-01-04,1,4,5,206412,21,4334652
7,2000-01-05,2,1,6,21251,79,1678829
8,2000-01-05,2,1,4,295913,63,18642519
9,2000-01-05,2,3,5,251491,83,20873753
10,2000-01-05,2,3,1,204264,32,6536448
11,2000-01-05,2,3,2,230878,99,22856922
12,2000-01-06,3,4,4,280311,51,14295861
13,2000-01-06,3,1,1,251371,51,12819921
14,2000-01-06,3,4,3,169280,83,14050240
15,2000-01-06,3,4,6,22091,65,1435915
16,2000-01-06,3,4,2,14512,48,696576
17,2000-01-06,3,4,5,29966,24,719184
18,2000-01-07,4,2,5,285988,83,23737004
19,2000-01-10,0,4,4,139044,59,8203596
20,2000-01-10,0,3,1,124150,48,5959200
21,2000-01-10,0,1,2,273434,92,25155928
22,2000-01-10,0,3,3,287910,42,12092220
23,2000-01-10,0,1,5,198573,82,16282986
24,2000-01-10,0,1,6,76961,20,1539220
25,2000-01-10,0,1,6,179929,71,12774959
26,2000-01-11,1,1,4,221903,28,6213284
27,2000-01-11,1,4,3,34200,66,2257200
28,2000-01-11,1,2,2,233986,36,8423496
29,2000-01-11,1,2,1,195192,90,17567280
30,2000-01-11,1,1,5,224779,37,8316823
31,2000-01-11,1,4,5,148167,37,5482179
32,2000-01-11,1,1,6,190297,29,5518613
33,2000-01-12,2,2,3,5326,75,399450
34,2000-01-12,2,4,2,49381,71,3506051
35,2000-01-12,2,1,4,92785,39,3618615
36,2000-01-12,2,2,5,104428,25,2610700
37,2000-01-13,3,1,1,128968,66,8511888
38,2000-01-13,3,1,6,260218,31,8066758
39,2000-01-13,3,4,4,273987,43,11781441
40,2000-01-13,3,4,3,200338,96,19232448
41,2000-01-13,3,2,5,11691,26,303966
42,2000-01-13,3,2,2,35659,37,1319383
43,2000-01-13,3,2,2,289669,91,26359879
44,2000-01-14,4,2,5,124633,89,11092337
45,2000-01-14,4,2,1,34700,81,2810700
46,2000-01-14,4,3,2,8978,47,421966
47,2000-01-17,0,2,2,41051,90,3694590
48,2000-01-17,0,3,5,253237,27,6837399
49,2000-01-17,0,4,3,284163,64,18186432
50,2000-01-17,0,3,4,258387,89,22996443
51,2000-01-17,0,3,6,5784,85,491640
52,2000-01-17,0,1,1,126795,27,3423465
53,2000-01-18,1,3,1,277628,88,24431264
54,2000-01-18,1,3,3,292398,58,16959084
55,2000-01-18,1,4,4,74575,79,5891425
56,2000-01-18,1,2,6,153852,32,4923264
57,2000-01-18,1,4,2,251604,44,11070576
58,2000-01-18,1,3,5,255120,46,11735520
59,2000-01-18,1,1,2,189267,72,13627224
60,2000-01-18,1,4,2,7714,33,254562
61,2000-01-19,2,2,3,20144,58,1168352
62,2000-01-19,2,1,3,121003,26,3146078
63,2000-01-19,2,3,2,37784,60,2267040
64,2000-01-19,2,4,6,298074,81,24143994
65,2000-01-19,2,2,1,15207,23,349761
66,2000-01-19,2,2,4,239887,27,6476949
67,2000-01-19,2,4,4,72208,91,6570928
68,2000-01-19,2,1,1,86019,37,3182703
69,2000-01-19,2,1,5,13741,22,302302
70,2000-01-19,2,4,5,119677,63,7539651
71,2000-01-20,3,3,5,233468,54,12607272
72,2000-01-20,3,1,2,128977,62,7996574
73,2000-01-20,3,4,3,276113,23,6350599
74,2000-01-20,3,1,1,233666,24,5607984
75,2000-01-20,3,4,1,279033,53,14788749
76,2000-01-20,3,4,6,159817,35,5593595
77,2000-01-20,3,3,4,102623,25,2565575
78,2000-01-21,4,2,6,90093,99,8919207
79,2000-01-21,4,3,4,297761,83,24714163
80,2000-01-21,4,1,2,54554,40,2182160
81,2000-01-21,4,1,1,202837,47,9533339
82,2000-01-21,4,4,3,239341,97,23216077
83,2000-01-24,0,2,4,122889,82,10076898
84,2000-01-24,0,1,2,178382,31,5529842
85,2000-01-24,0,2,6,55964,58,3245912
86,2000-01-24,0,1,1,138899,90,12500910
87,2000-01-24,0,2,5,241212,80,19296960
88,2000-01-25,1,2,3,121692,99,12047508
89,2000-01-26,2,1,1,139830,26,3635580
90,2000-01-26,2,2,4,245861,38,9342718
91,2000-01-26,2,2,2,119293,90,10736370
92,2000-01-26,2,3,6,32649,86,2807814
93,2000-01-26,2,1,5,205907,79,16266653
94,2000-01-26,2,4,6,92755,30,2782650
95,2000-01-27,3,1,2,190380,61,11613180
96,2000-01-28,4,3,3,117791,94,11072354
97,2000-01-28,4,4,6,217462,38,8263556
98,2000-01-28,4,2,1,173614,58,10069612
99,2000-01-28,4,3,2,282956,41,11601196
100,2000-01-28,4,1,4,259549,55,14275195
101,2000-01-28,4,4,5,87114,28,2439192
102,2000-01-28,4,1,2,88828,43,3819604
103,2000-01-31,0,4,4,179380,80,14350400
104,2000-01-31,0,2,1,292613,69,20190297
105,2000-01-31,0,2,3,104584,75,7843800
106,2000-01-31,0,4,2,58004,60,3480240
107,2000-01-31,0,2,5,195867,31,6071877
108,2000-01-31,0,4,6,75827,67,5080409
109,2000-02-01,1,2,1,85489,90,7694010
110,2000-02-01,1,4,4,185374,49,9083326
111,2000-02-01,1,2,6,255543,63,16099209
112,2000-02-01,1,4,2,204118,32,6531776
113,2000-02-01,1,1,3,33117,72,2384424
114,2000-02-01,1,1,5,42889,89,3817121
115,2000-02-02,2,3,5,237190,70,16603300
116,2000-02-02,2,3,2,168832,38,6415616
117,2000-02-02,2,2,3,177083,52,9208316
118,2000-02-02,2,3,1,7526,30,225780
119,2000-02-02,2,1,6,294520,52,15315040
120,2000-02-02,2,1,4,231013,52,12012676
121,2000-02-03,3,1,6,89717,59,5293303
122,2000-02-03,3,2,5,16142,28,451976
123,2000-02-03,3,1,2,232101,45,10444545
124,2000-02-03,3,2,4,160117,35,5604095
125,2000-02-03,3,4,3,109323,33,3607659
126,2000-02-03,3,1,1,108477,20,2169540
127,2000-02-03,3,2,1,244922,31,7592582
128,2000-02-04,4,4,4,197714,76,15026264
129,2000-02-04,4,1,2,90923,80,7273840
130,2000-02-07,0,2,6,32514,97,3153858
131,2000-02-07,0,2,4,293708,92,27021136
132,2000-02-07,0,3,5,164967,91,15011997
133,2000-02-07,0,2,1,132175,48,6344400
134,2000-02-07,0,3,2,54413,65,3536845
135,2000-02-08,1,1,6,73953,59,4363227
136,2000-02-08,1,1,5,225923,69,15588687
137,2000-02-08,1,1,4,220324,88,19388512
138,2000-02-08,1,2,1,217379,47,10216813
139,2000-02-08,1,2,2,22454,91,2043314
140,2000-02-08,1,2,1,206665,62,12813230
141,2000-02-08,1,3,3,188238,87,16376706
142,2000-02-09,2,4,6,47599,68,3236732
143,2000-02-09,2,2,2,126101,68,8574868
144,2000-02-09,2,4,5,63255,50,3162750
145,2000-02-09,2,3,4,199889,81,16191009
146,2000-02-09,2,4,3,36703,39,1431417
147,2000-02-10,3,3,1,157008,69,10833552
148,2000-02-10,3,4,3,162147,74,11998878
149,2000-02-10,3,3,6,70093,36,2523348
150,2000-02-10,3,2,2,209904,66,13853664
151,2000-02-10,3,1,4,197994,64,12671616
152,2000-02-11,4,4,1,141718,86,12187748
153,2000-02-11,4,4,4,271880,76,20662880
154,2000-02-11,4,1,3,107622,26,2798172
155,2000-02-11,4,1,5,240492,74,17796408
156,2000-02-11,4,2,2,230555,60,13833300
157,2000-02-11,4,3,6,182487,81,14781447
158,2000-02-14,0,2,3,283205,45,12744225
159,2000-02-14,0,2,1,267309,25,6682725
160,2000-02-14,0,4,5,81165,36,2921940
161,2000-02-14,0,3,6,59218,26,1539668
162,2000-02-14,0,2,2,74437,38,2828606
163,2000-02-14,0,3,4,84316,20,1686320
164,2000-02-15,1,3,3,59430,57,3387510
165,2000-02-15,1,3,4,145989,95,13868955
166,2000-02-15,1,1,1,7761,64,496704
167,2000-02-15,1,3,6,126359,27,3411693
168,2000-02-15,1,1,5,204813,45,9216585
169,2000-02-15,1,4,2,137787,97,13365339
170,2000-02-16,2,2,5,192194,61,11723834
171,2000-02-16,2,1,6,244435,41,10021835
172,2000-02-16,2,4,1,79505,33,2623665
173,2000-02-16,2,3,4,11948,97,1158956
174,2000-02-16,2,3,3,255194,79,20160326
175,2000-02-16,2,3,2,121062,82,9927084
176,2000-02-16,2,1,6,147307,20,2946140
177,2000-02-16,2,3,6,290272,86,24963392
178,2000-02-17,3,3,6,35878,39,1399242
179,2000-02-17,3,4,5,95956,82,7868392
180,2000-02-17,3,4,1,35820,72,2579040
181,2000-02-18,4,3,4,103449,99,10241451
182,2000-02-18,4,3,2,250339,89,22280171
183,2000-02-18,4,4,5,122138,84,10259592
184,2000-02-18,4,4,3,187284,26,4869384
185,2000-02-18,4,2,1,139892,47,6574924
186,2000-02-21,0,1,2,171711,60,10302660
187,2000-02-21,0,4,5,136336,43,5862448
188,2000-02-21,0,1,4,190175,61,11600675
189,2000-02-21,0,3,3,173166,78,13506948
190,2000-02-21,0,2,6,123653,20,2473060
191,2000-02-21,0,3,1,231233,53,12255349
192,2000-02-21,0,4,6,150251,73,10968323
193,2000-02-22,1,3,3,109208,93,10156344
194,2000-02-23,2,2,2,29745,94,2796030
195,2000-02-23,2,2,3,31298,45,1408410
196,2000-02-23,2,4,4,216730,42,9102660
197,2000-02-23,2,1,4,252435,57,14388795
198,2000-02-23,2,2,6,70513,24,1692312
199,2000-02-23,2,4,6,186395,49,9133355
200,2000-02-23,2,2,3,274608,85,23341680
201,2000-02-23,2,1,1,244438,47,11488586
202,2000-02-24,3,2,4,240358,72,17305776
203,2000-02-24,3,3,1,142459,48,6838032
204,2000-02-24,3,1,5,168309,96,16157664
205,2000-02-24,3,3,2,225011,47,10575517
